model,relation,object,has_prompt_tuning,spearman
bert-base,cooccur,man,False,-0.21928619058917523
bert-base,cooccur,glass,False,-0.11902884408641967
bert-base,cooccur,shade,False,-0.07057970493708315
bert-base,cooccur,shirt,False,-0.10486174734644733
bert-base,cooccur,plug,False,-0.07462584520297268
bert-base,cooccur,hair,False,-0.1516540765503291
bert-base,cooccur,desktop,False,-0.0053834154080866035
bert-base,cooccur,cabinet,False,-0.09327343485644854
bert-base,cooccur,pillow,False,-0.0714398207386879
bert-base,cooccur,curtain,False,-0.07039306746878612
bert-base,cooccur,drape,False,-0.02566999964235842
bert-base,cooccur,frame,False,-0.044630822234180606
bert-base,cooccur,railing,False,-0.04653419079901585
bert-base,cooccur,apple,False,-0.07714936400265582
bert-base,cooccur,container,False,-0.07355270375050796
bert-base,cooccur,counter,False,-0.0914505095417582
bert-base,cooccur,earring,False,-0.09070077751901084
bert-base,cooccur,calculator,False,0.009670808257348154
bert-base,cooccur,mug,False,-0.04399539632454178
bert-base,cooccur,monitor,False,-0.05814688962896341
bert-base,cooccur,tower,False,-0.08552922351077373
bert-base,cooccur,ceiling,False,-0.08652843898612794
bert-base,cooccur,bookshelf,False,-0.05635176058271681
bert-base,cooccur,ostrich,False,-0.010969283287219966
bert-base,cooccur,clothing,False,-0.049327724774518314
bert-base,cooccur,pot,False,-0.06828383185943668
bert-base,cooccur,cap,False,-0.06713899849387597
bert-base,cooccur,holder,False,-0.04277464782889639
bert-base,cooccur,crack,False,-0.0871810885069436
bert-base,cooccur,fence,False,-0.06258244894945592
bert-base,cooccur,phone,False,-0.10025149253325497
bert-base,cooccur,can,False,-0.15736020208514004
bert-base,cooccur,roof,False,-0.02435461908613615
bert-base,cooccur,tape,False,-0.051925664268616015
bert-base,cooccur,person,False,-0.20808493107471407
bert-base,cooccur,shoulder,False,-0.04147156898795775
bert-base,cooccur,train,False,-0.09827527073820744
bert-base,cooccur,shadow,False,-0.17165663494487257
bert-base,cooccur,motorcycle,False,-0.04965893198948467
bert-base,cooccur,scooter,False,-0.02307382777065275
bert-base,cooccur,package,False,-0.0492266656610826
bert-base,cooccur,bus,False,-0.12084134856193042
bert-base,cooccur,basket,False,-0.06723040009275054
bert-base,cooccur,plank,False,-0.020721014217722773
bert-base,cooccur,cloud,False,-0.10310420428144726
bert-base,cooccur,foot,False,-0.07197978709956976
bert-base,cooccur,ocean,False,-0.06749439387194722
bert-base,cooccur,shore,False,-0.03513697329646392
bert-base,cooccur,canister,False,-0.028271015651540974
bert-base,cooccur,dishwasher,False,0.010786005428651298
bert-base,cooccur,flask,False,-0.0032190301274634416
bert-base,cooccur,log,False,-0.08888586368852872
bert-base,cooccur,stove,False,-0.0518130311679052
bert-base,cooccur,kettle,False,-0.01091019076272344
bert-base,cooccur,shawl,False,-0.013589804085669992
bert-base,cooccur,fringe,False,-0.022017055555070785
bert-base,cooccur,bush,False,-0.0578850320909546
bert-base,cooccur,plant,False,-0.06574576216081394
bert-base,cooccur,middle,False,-0.06507579492543317
bert-base,cooccur,view,False,-0.05595825183760104
bert-base,cooccur,classroom,False,-0.018338794344206998
bert-base,cooccur,brown,False,-0.055329774649321574
bert-base,cooccur,entrance,False,-0.07543163975983244
bert-base,cooccur,intersection,False,-0.03036182468135595
bert-base,cooccur,pavement,False,-0.04628840168578088
bert-base,cooccur,tie,False,-0.08792403848730297
bert-base,cooccur,pin,False,-0.027996226002801213
bert-base,cooccur,river,False,-0.07029818759575772
bert-base,cooccur,paint,False,-0.15270928689601024
bert-base,cooccur,design,False,-0.15227796488435125
bert-base,cooccur,fountain,False,-0.009459325276355448
bert-base,cooccur,border,False,-0.09757382192439447
bert-base,cooccur,console,False,-0.023108056066018432
bert-base,cooccur,salad,False,0.004967341999274767
bert-base,cooccur,beard,False,-0.04313098795857526
bert-base,cooccur,microwave,False,-0.06342881987038212
bert-base,cooccur,teapot,False,-0.014453617882588414
bert-base,cooccur,bed,False,-0.08030994022995216
bert-base,cooccur,ladder,False,-0.046192907502869925
bert-base,cooccur,radio,False,-0.05893555561966607
bert-base,cooccur,dresser,False,-0.031185323078507333
bert-base,cooccur,coffee,False,-0.016662249952219252
bert-base,cooccur,strawberry,False,-0.01623731695875149
bert-base,cooccur,lettuce,False,-0.016431195784110914
bert-base,cooccur,tail,False,-0.027971274155447343
bert-base,cooccur,spatula,False,-0.05539832276554959
bert-base,cooccur,menu,False,-0.04980576393762679
bert-base,cooccur,hydrant,False,-0.056033057884072736
bert-base,cooccur,column,False,-0.0803398891369181
bert-base,cooccur,overall,False,-0.028481268372629622
bert-base,cooccur,manhole,False,-0.024851526932889105
bert-base,cooccur,pillar,False,-0.07150954314814778
bert-base,cooccur,ear,False,-0.12012886990641426
bert-base,cooccur,baseboard,False,-0.012566719447039663
bert-base,cooccur,hole,False,-0.12291198274095752
bert-base,cooccur,zebra,False,-0.035077881181432964
bert-base,cooccur,mane,False,-0.06384894547519819
bert-base,cooccur,sewer,False,0.005514273802577592
bert-base,cooccur,grate,False,-0.050104529538160386
bert-base,cooccur,meter,False,-0.07763978046560804
bert-base,cooccur,finger,False,-0.09238321506885434
bert-base,cooccur,machine,False,-0.005896215848953739
bert-base,cooccur,sill,False,-0.009872369171178348
bert-base,cooccur,shrubbery,False,0.05010927974340432
bert-base,cooccur,grain,False,-0.011582156877908792
bert-base,cooccur,tag,False,-0.1012754262341418
bert-base,cooccur,baseball,False,-0.030685296397584595
bert-base,cooccur,cafe,False,-0.01729987101702178
bert-base,cooccur,shaker,False,-0.04516918259900223
bert-base,cooccur,brace,False,-0.032746810776411624
bert-base,cooccur,wreath,False,-0.018212171119589473
bert-base,cooccur,pumpkin,False,-0.018754437213824214
bert-base,cooccur,dip,False,-0.014208354861305514
bert-base,cooccur,blender,False,-0.03213619232535827
bert-base,cooccur,triangle,False,-0.03642552176679406
bert-base,cooccur,framing,False,-0.0026608994808391072
bert-base,cooccur,sandwich,False,-0.0447570949766535
bert-base,cooccur,dumpster,False,-0.02902469108851174
